window,n_selected,avg_is_ic,avg_oos_ic,test_start,test_end
179,5,0.0382508986831242,0.04012980333080585,2024-09-16 17:20:00,2024-10-16 14:15:00
180,4,0.03249751247214211,0.03988149459117937,2024-10-16 14:20:00,2024-11-15 12:15:00
181,2,0.04287672566397388,0.08218169871670991,2024-11-15 12:20:00,2024-12-17 19:00:00
182,10,0.027685769869576844,0.03431909496656092,2024-12-17 19:05:00,2025-01-21 08:25:00
183,10,0.03260325092305973,0.04801958237903776,2025-01-21 08:30:00,2025-02-20 10:25:00
184,11,0.03563134223774371,0.028676638650308298,2025-02-20 10:30:00,2025-03-24 08:30:00
185,12,0.027679700017998018,0.024551007031675124,2025-03-24 08:35:00,2025-04-24 06:35:00
186,2,0.030598507317940792,0.08340233326237761,2025-04-24 06:40:00,2025-05-26 04:45:00
187,6,0.029635453498213296,0.027133295500195356,2025-05-26 04:50:00,2025-06-25 10:45:00
188,10,0.024092685738993216,0.04619548994246273,2025-06-25 10:50:00,2025-07-27 17:30:00
189,15,0.03337126725187412,0.03157355389166618,2025-07-27 17:35:00,2025-08-26 14:30:00
190,14,0.0425257585634861,0.02274802956261391,2025-08-26 14:35:00,2025-09-25 17:30:00
191,13,0.029356227756988453,0.026472539857845,2025-09-25 17:35:00,2025-10-27 14:30:00
192,9,0.0403889281673842,0.04147161404192764,2025-10-27 14:35:00,2025-11-26 12:30:00
193,11,0.03505990955580317,0.030233148031050715,2025-11-26 12:35:00,2025-12-30 09:45:00
